"brand","title","price","url"
"Asics","Zapatos Asics Gel-Venture 11 Mujer","91.92","https://fitpoint.ec/gel-venture-11-morganite-pearl-pink-1012b933-asi-700-01.html"
"Asics","Zapatos Asics Gel-Venture 11 Mujer","91.92","https://fitpoint.ec/gel-venture-11-twilight-blue-morganite-1012b933-asi-400-05.html"
"Asics","Zapatos Asics Trabuco Terra 3 Mujer","174.90","https://fitpoint.ec/trabuco-terra-3-mineral-beige-aurora-green-1012b925-asi-250.html"
"Asics","Zapatos Asics Gel-Nimbus 28 Mujer","214.90","https://fitpoint.ec/gel-nimbus-28-pearl-pink-morganite-1012b899-asi-700-02.html"
"Asics","Zapatos Asics Gt-2000 14 Mujer","147.92","https://fitpoint.ec/gt-2000-14-twilight-blue-white-1012b843-asi-402-01.html"
"Asics","Zapatos Asics Gel-Kayano 32 Mujer","224.90","https://fitpoint.ec/gel-kayano-32-white-orange-glow-1012b838-asi-101.html"
"Asics","Zapatos Asics Gel-Kayano 32 Mujer","224.90","https://fitpoint.ec/gel-kayano-32-cloud-grey-seashell-1012b838-asi-021.html"
"Asics","Zapatos Asics Dynablast 5 Mujer","164.90","https://fitpoint.ec/dynablast-5-fawn-oyster-white-1012b776-asi-700.html"
"Asics","Zapatos Asics Novablast 5 Hombre","159.92","https://fitpoint.ec/novablast-5-pearl-pink-morganite-1012b765-asi-700-02.html"
"Asics","Zapatos Asics Novablast 5 Mujer","159.92","https://fitpoint.ec/novablast-5-bluebell-lilac-hint-1012b765-asi-501.html"
"Asics","Zapatos Asics Novablast 5 Mujer","199.90","https://fitpoint.ec/novablast-5-whisper-green-monument-blue-1012b765-asi-301.html"
"Asics","Zapatos Asics Gel-Kayano 32 Hombre","179.92","https://fitpoint.ec/gel-kayano-32-sky-lemon-spark-1011c284-asi-400-03.html"
"Asics","Zapatos Asics Gel-Cumulus 28 Hombre","184.90","https://fitpoint.ec/gel-cumulus-28-sky-sun-peach-1011c223-asi-400-04.html"
"Asics","Zapatos Asics Gel-Nimbus 28 Hombre","214.90","https://fitpoint.ec/gel-nimbus-28-piedmont-grey-pure-silver-1011c222-asi-020-01.html"
"Asics","Zapatos Asics Gel-Nimbus 28 Hombre","214.90","https://fitpoint.ec/gel-nimbus-28-sky-sun-peach-1011c221-asi-400-04.html"
"Asics","Zapatos Asics Novablast 5 Hombre","184.90","https://fitpoint.ec/novablast-5-piedmont-grey-pure-silver-1011c185-asi-020-01.html"
"Asics","Zapatos Asics Trabuco 14 Hombre","184.90","https://fitpoint.ec/trabuco-14-black-clay-canyon-1011c166-asi-001-02.html"
"Asics","Zapatos Asics Trabuco Max 5 Hombre","204.90","https://fitpoint.ec/trabuco-max-5-cobalt-burst-black-1011c164-asi-400.html"
"Asics","Zapatos Asics Gel-Venture 11 Hombre","91.92","https://fitpoint.ec/gel-venture-11-twilight-blue-aurora-green-1011c160-asi-401.html"
"Asics","Zapatos Asics Gel-Venture 11 Hombre","91.92","https://fitpoint.ec/gel-venture-11-black-cool-grey-1011c160-asi-002.html"
"Asics","Zapatos Asics Trabuco Terra 3 Hombre","174.90","https://fitpoint.ec/trabuco-terra-3-light-dust-black-1011c152-asi-020.html"
"Asics","Zapatos Asics Gel-Excite 11 Hombre","99.92","https://fitpoint.ec/gel-excite-11-twilight-blue-light-dust-1011c080-asi-403.html"
"Asics","Zapatos Asics GT-1000 14 Hombre","154.90","https://fitpoint.ec/gt-1000-14-black-citron-1011c077-asi-001-01.html"
"Asics","Zapatos Asics Gt-2000 14 Hombre","147.92","https://fitpoint.ec/gt-2000-14-dark-teal-white-1011c056-asi-404.html"
"Asics","Zapatos Asics Gel-Kayano 32 Hombre","224.90","https://fitpoint.ec/gel-kayano-32-cold-moss-vital-green-1011c052-asi-402.html"
"Asics","Zapatos Asics Gel-Kayano 32 Hombre","224.90","https://fitpoint.ec/gel-kayano-32-white-orange-glow-1011c052-asi-101.html"
"Asics","Zapatos Asics Dynablast 5 Hombre","164.90","https://fitpoint.ec/dynablast-5-black-winter-sea-1011b983-asi-002-01.html"
"Asics","Zapatos Asics Novablast 5 Hombre","184.90","https://fitpoint.ec/novablast-5-cold-moss-light-orange-1011b974-asi-406.html"
"Asics","Zapatos Asics Novablast 5 Hombre","184.90","https://fitpoint.ec/novablast-5-black-cobalt-burst-1011b974-asi-004.html"
"Asics","Zapatos Asics Gel-Venture 10 Hombre","114.90","https://fitpoint.ec/gel-venture-10-black-graphite-grey-1011b967-asi-003.html"
"Asics","Zapatos Asics Skyhand Mujer","115.92","https://fitpoint.ec/zapatos-asics-skyhand-mujer-1203a767-asi-700.html"
"Asics","Zapatos Asics Gel-Nimbus 10.1 Mujer","187.92","https://fitpoint.ec/zapatos-asics-gel-nimbus-10-1-mujer-1203a761-asi-100.html"
"Asics","Zapatos Asics Gel-Cumulus 16 Hombre","159.92","https://fitpoint.ec/zapatos-asics-gel-cumulus-16-hombre-1203a733-asi-101.html"
"Asics","Zapatos Asics Gel-Cumulus 16 Hombre","159.92","https://fitpoint.ec/zapatos-asics-gel-cumulus-16-hombre-1203a733-asi-100.html"
"Asics","Zapatos Asics Gel-1130 Unisex","123.92","https://fitpoint.ec/zapatos-asics-gel-1130-unisex-1203a609-asi-104.html"
"Asics","Zapatos Asics Gel-1130 Unisex","123.92","https://fitpoint.ec/zapatos-asics-gel-1130-unisex-1203a609-asi-021.html"
"Asics","Zapatos Asics Gel-Nimbus Hombre","171.92","https://fitpoint.ec/zapatos-asics-gel-nimbus-10-1-hombre-1203a543-asi-023-01.html"
"Asics","Zapatos Asics Gel-Nyc 2055 Hombre","147.92","https://fitpoint.ec/zapatos-asics-gel-nyc-2055-hombre-1203a542-asi-023.html"
"Asics","Zapatos Asics Gel-Kayano 14 Unisex","163.92","https://fitpoint.ec/zapatos-asics-gel-kayano-14-unisex-1203a537-asi-300.html"
"Asics","Zapatos Asics Skyhand Unisex","115.92","https://fitpoint.ec/zapatos-asics-skyhand-unisex-1203a452-asi-401.html"
"Asics","Zapatos Asics Skyhand Unisex","115.92","https://fitpoint.ec/zapatos-asics-skyhand-unisex-1203a452-asi-251.html"
"Asics","Zapatos Asics Skyhand Unisex","115.92","https://fitpoint.ec/zapatos-asics-skyhand-unisex-1203a452-asi-200.html"
